,rank,title,artist,clean_title,clean_artist
0,1,First Class,Jack Harlow,firstclass,jackharlow
1,2,As It Was,Harry Styles,asitwas,harrystyles
2,3,N95,Kendrick Lamar,n95,kendricklamar
3,4,Wait For U,Future Featuring Drake & Tems,waitforu,futurefeaturingdrake&tems
4,5,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",diehard,"kendricklamar,blxst&amandareifer"
5,6,You Proof,Morgan Wallen,youproof,morganwallen
6,7,Silent Hill,Kendrick Lamar & Kodak Black,silenthill,kendricklamar&kodakblack
7,8,United In Grief,Kendrick Lamar,unitedingrief,kendricklamar
8,9,About Damn Time,Lizzo,aboutdamntime,lizzo
9,10,Big Energy,Latto,bigenergy,latto
10,11,Father Time,Kendrick Lamar Featuring Sampha,fathertime,kendricklamarfeaturingsampha
11,12,Heat Waves,Glass Animals,heatwaves,glassanimals
12,13,Rich Spirit,Kendrick Lamar,richspirit,kendricklamar
13,14,Me Porto Bonito,Bad Bunny & Chencho Corleone,meportobonito,badbunny&chenchocorleone
14,15,Moscow Mule,Bad Bunny,moscowmule,badbunny
15,16,We Cry Together,Kendrick Lamar & Taylour Paige,wecrytogether,kendricklamar&taylourpaige
16,17,Enemy,Imagine Dragons X JID,enemy,imaginedragonsxjid
17,18,Titi Me Pregunto,Bad Bunny,titimepregunto,badbunny
18,19,Worldwide Steppers,Kendrick Lamar,worldwidesteppers,kendricklamar
19,20,Count Me Out,Kendrick Lamar,countmeout,kendricklamar
20,21,Stay,The Kid LAROI & Justin Bieber,stay,thekidlaroi&justinbieber
21,22,Purple Hearts,"Kendrick Lamar, Summer Walker & Ghostface Killah",purplehearts,"kendricklamar,summerwalker&ghostfacekillah"
22,23,Savior,"Kendrick Lamar, Baby Keem, & Sam Dew",savior,"kendricklamar,babykeem,&samdew"
23,24,Woman,Doja Cat,woman,dojacat
24,25,Ghost,Justin Bieber,ghost,justinbieber
25,26,Despues de La Playa,Bad Bunny,despuesdelaplaya,badbunny
26,27,Party,Bad Bunny & Rauw Alejandro,party,badbunny&rauwalejandro
27,28,Wasted On You,Morgan Wallen,wastedonyou,morganwallen
28,29,Cooped Up,Post Malone Featuring Roddy Ricch,coopedup,postmalonefeaturingroddyricch
29,30,Bad Habits,Ed Sheeran,badhabits,edsheeran
30,31,Puffin On Zootiez,Future,puffinonzootiez,future
31,32,Super Gremlin,Kodak Black,supergremlin,kodakblack
32,33,Rich (Interlude),Kendrick Lamar,rich(interlude),kendricklamar
33,34,Thats What I Want,Lil Nas X,thatswhatiwant,lilnasx
34,35,Provenza,Karol G,provenza,karolg
35,36,Boyfriend,Dove Cameron,boyfriend,dovecameron
36,37,Shivers,Ed Sheeran,shivers,edsheeran
37,38,Cold Heart (PNAU Remix),Elton John & Dua Lipa,coldheart(pnauremix),eltonjohn&dualipa
