,id_list,songname,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clean_songname,clean_artist
0,2meEiZKWkiN28gITzFwQo5,Into You,Ariana Grande,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,intoyou,arianagrande
1,1OXfWI3FQMdsKKC6lkvzSx,Glad You Came,The Wanted,0.698,0.844,7,-4.549,0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,gladyoucame,thewanted
2,4pSPMXaCjbaV3VSzZQYC7H,Who Knew,P!nk,0.689,0.737,9,-4.516,1,0.0268,0.00482,0.0,0.0777,0.47,140.0,whoknew,p!nk
3,6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,myhouse,florida
4,2AZXe8nq18mPITmPy5KJwQ,Hot N Cold,Katy Perry,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,hotncold,katyperry
5,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,peaches(feat.danielcaesar&giveon),justinbieber
6,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,lovesong,sarabareilles
7,3veFQzlEOTpcGGIbYPKdYq,Love You Like A Love Song,Selena Gomez & The Scene,0.858,0.677,1,-3.842,0,0.0465,0.0752,0.0,0.0718,0.925,117.005,loveyoulikealovesong,selenagomez&thescene
8,6r2BECwMgEoRb5yLfp0Hca,Born This Way,Lady Gaga,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,bornthisway,ladygaga
9,6mnjcTmK8TewHfyOp3fC9C,Die Young,Kesha,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,dieyoung,kesha
10,2cVJq55ISQ7LNkWibZzRSY,Piranha,Cartoon,0.491,0.82,0,-4.782,0,0.0342,0.0226,0.000131,0.0695,0.413,174.046,piranha,cartoon
11,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,ride,twentyonepilots
12,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,closer,thechainsmokers
13,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,sidetoside,arianagrande
14,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,wedon'ttalkanymore(feat.selenagomez),charlieputh
15,1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,heartattack,demilovato
16,5NFCgUd9vBbHTgtklydT5W,Leave with Me,Akif,0.817,0.633,4,-6.234,0,0.0475,0.209,1.24e-05,0.117,0.57,98.033,leavewithme,akif
17,1DSJNBNhGZCigg9ll5VeZv,(You Drive Me) Crazy,Britney Spears,0.748,0.939,0,-4.288,0,0.0341,0.0534,0.0,0.32,0.96,104.001,(youdriveme)crazy,britneyspears
18,2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,Fifth Harmony,0.596,0.851,5,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,that'smygirl,fifthharmony
19,1vYh9x8UmFTLbXiizk9Qc5,I Believe,Jonas Brothers,0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,ibelieve,jonasbrothers
20,30o4hMJ6OC9uv954GT6OZU,Believe,Mumford & Sons,0.339,0.67,2,-5.995,1,0.0457,0.0303,0.0369,0.225,0.383,114.903,believe,mumford&sons
21,5WfhXulggG0c6WoVeMPA8N,Shake It Off,Taylor Swift,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,shakeitoff,taylorswift
22,294vBlXfZYspeI29SXZaON,Wake Me Up,Avicii,0.512,0.803,2,-5.135,1,0.0531,0.00362,0.000583,0.116,0.591,124.162,wakemeup,avicii
23,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,newrules,dualipa
24,365hbjh0wlAIGOfRW5hdZc,Blinding Lights,Jacob Tillberg,0.523,0.748,1,-2.165,1,0.0395,0.226,0.0,0.27,0.329,84.954,blindinglights,jacobtillberg
25,4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,attention,charlieputh
26,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,there'snothingholdin'meback,shawnmendes
27,33IOhptvC2Qoy2UhjiHXLV,Flames,David Guetta,0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,flames,davidguetta
28,2IiNA0s5eQBSjwK4iNeUvW,Complicated,Avril Lavigne,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,complicated,avrillavigne
29,2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),Red Hot Chili Peppers,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,snow(heyoh),redhotchilipeppers
30,7b9WVKS9dt9OyRFAbGTP8P,Tonight,Alex Martura,0.868,0.7,7,-6.408,0,0.1,0.0933,0.00685,0.0815,0.458,121.988,tonight,alexmartura
31,2TNaQWWTeTyig2wsr1BNaL,Are You That Somebody?,Aaliyah,0.854,0.658,9,-6.932,0,0.17,0.154,0.00914,0.102,0.855,137.949,areyouthatsomebody?,aaliyah
32,3yuCP9JWRb5y0sjA4X5a3T,Butterfly Doors,Avi,0.699,0.498,7,-8.352,0,0.0408,0.00913,7.93e-06,0.0802,0.277,89.97,butterflydoors,avi
33,6SPD3JwwRejBhCDiQAQ4he,Run It!,Chris Brown,0.85,0.482,1,-6.684,0,0.102,0.0246,0.0,0.387,0.217,100.957,runit!,chrisbrown
34,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,somethingjustlikethis,thechainsmokers
35,3KWWyJZVndMuPUH025wZLL,White Rabbit,Jah-Sol,0.558,0.647,4,-6.813,0,0.305,0.443,6.64e-05,0.178,0.638,180.022,whiterabbit,jah-sol
36,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,perfect,edsheeran
37,5CqbgM6ek83fzvEXzrJgax,Piped Up,YKG Hotboy,0.828,0.515,5,-5.802,0,0.321,0.107,0.0,0.118,0.451,145.101,pipedup,ykghotboy
38,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,feelitstill,portugal.theman
39,6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,brave,sarabareilles
40,6Sjl4KtCBxaJza3BTTXJE6,Ghost Boy,Jacob Tillberg,0.792,0.634,4,-6.566,0,0.0348,0.245,7.11e-06,0.136,0.322,99.989,ghostboy,jacobtillberg
41,6NPVjNh8Jhru9xOmyQigds,Happy,Pharrell Williams,0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,happy,pharrellwilliams
42,6yMhdnw1QFll8n3KuFmJ1s,GROOVEBOX 404,Tian,0.828,0.818,2,-5.331,1,0.0948,0.0017,0.371,0.203,0.431,125.072,groovebox404,tian
43,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,oops!...ididitagain,britneyspears
44,7HZFXrFwKITySCO81GbM48,Rick and Morty,KillBunk,0.704,0.726,1,-4.544,0,0.269,0.000304,0.0,0.13,0.477,160.088,rickandmorty,killbunk
45,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,dragmedown,onedirection
46,3cArYlDwUCBAkuWCJv4xlC,Mismatch,NxG,0.858,0.473,1,-6.997,0,0.221,0.0133,0.0,0.0775,0.824,132.99,mismatch,nxg
47,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,allaboutthatbass,meghantrainor
48,03O4W5eEMHIPBgispRuUDq,PUT TO BED,Sawaya,0.535,0.68,6,-6.236,0,0.209,0.366,0.0,0.115,0.342,169.917,puttobed,sawaya
49,6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,toxic,britneyspears
50,55UjUnxptCllDvWXskVblX,Dutches,E the profit,0.808,0.65,1,-6.752,0,0.298,0.165,0.0,0.168,0.628,140.015,dutches,etheprofit
51,5eYsiZulu5MFw4BQ8ige6i,Murda She Wrote,Nana Kofi,0.782,0.619,7,-8.181,0,0.15,0.142,0.0,0.0928,0.788,89.964,murdashewrote,nanakofi
52,5AnKqqcn08H25T26ZGGjos,Big Girl Banger,Robbie Tripp,0.962,0.783,10,-2.764,0,0.188,0.115,0.0,0.0665,0.882,104.988,biggirlbanger,robbietripp
53,5ybJm6GczjQOgTqmJ0BomP,22,Taylor Swift,0.662,0.736,7,-6.511,1,0.0374,0.00274,0.000844,0.0464,0.674,104.003,22,taylorswift
54,2DKKqwTd0mYU0HNQMQEJsa,Bed,Kylesimps,0.816,0.533,11,-7.129,1,0.245,0.246,2.16e-06,0.226,0.635,77.064,bed,kylesimps
55,4MFvxUodq67dqNXC4mPPcQ,Can't Trust Nobody,TJ Boyce,0.656,0.602,1,-5.796,0,0.359,0.204,0.0,0.0939,0.503,76.011,can'ttrustnobody,tjboyce
56,6UMpckktB0qoKpOjSl2Rlx,Proud of You,Lamarcus J,0.827,0.577,1,-7.869,1,0.452,0.167,0.0,0.0445,0.645,150.112,proudofyou,lamarcusj
57,2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,Hailee Steinfeld,0.755,0.57,9,-7.132,1,0.0888,0.0416,0.0,0.0891,0.406,102.991,mostgirls,haileesteinfeld
58,0PAtzjxXQwEKwT27kFflOz,M1,The Disco Biscuits,0.523,0.917,2,-6.948,0,0.0377,0.00528,0.764,0.112,0.344,124.981,m1,thediscobiscuits
59,13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,coolkids,echosmith
60,3oiMJQAWVaxSubJ7b2VUtX,Fancy,Iggy Azalea,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,fancy,iggyazalea
61,42RB380ZMlx7l6alkvk48A,She Gets,Jah-Sol,0.405,0.453,4,-13.794,0,0.0658,0.221,0.14,0.0726,0.329,133.352,shegets,jah-sol
62,6hkOqJ5mE093AQf2lbZnsG,The One That Got Away,Katy Perry,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,theonethatgotaway,katyperry
63,38RJVU2LTPjW7xiXqCUlDn,Sucker,ari hicks,0.725,0.589,9,-8.082,0,0.0435,0.114,0.00265,0.132,0.339,105.998,sucker,arihicks
64,2hbHVkOLOKd8t9hDtaDYB7,On Me,Kofi,0.82,0.59,8,-7.661,1,0.153,0.233,1.15e-05,0.0725,0.717,111.972,onme,kofi
65,08bg5QA5OQ31h73avz0pXP,Stay,Naeleck,0.569,0.918,1,-2.509,1,0.0279,0.00241,2.98e-05,0.307,0.541,128.037,stay,naeleck
66,3Sm4xtt7il1cfs3X8vN88c,Everybody Dance Now,jeonghyeon,0.65,0.967,5,-4.917,0,0.0836,0.0287,0.000147,0.386,0.264,128.012,everybodydancenow,jeonghyeon
67,5vBHFYWu1KAAHYY5EfMl5u,idc,Lili-Ann De Francesco,0.427,0.45,0,-11.085,1,0.074,0.833,0.0,0.113,0.161,86.608,idc,lili-anndefrancesco
68,1qbztgbGcJELSNHhFl5nuj,Chiropractor,lilbubblegum,0.626,0.716,8,-7.403,1,0.0655,0.136,0.000141,0.0815,0.353,87.91,chiropractor,lilbubblegum
69,0hPuF2Z5fZjnuwYPvIdPC1,Really Don't Care,Demi Lovato,0.703,0.733,7,-3.598,1,0.0852,0.111,0.0,0.119,0.82,121.008,reallydon'tcare,demilovato
